COG20_FUNCTION	enrichment_score	unadjusted_p_value	adjusted_q_value	associated_groups	accession	gene_clusters_ids	p_M_smithii	p_M_intestini	N_M_smithii	N_M_intestini
5-formaminoimidazole-4-carboxamide-1-beta-D-ribofuranosyl 5'-monophosphate synthetase (purine biosynthesis) (PurP) (PDB:2PBZ) (PUBMED:15623504)	0	1	1	NA	COG1759	GC_00000912	1	1	61	26
Molybdopterin-binding protein MopI (MopI) (PDB:1B9M)	0	1	1	NA	COG3585	GC_00000272	1	1	61	26
"FoF1-type ATP synthase, membrane subunit c/Archaeal/vacuolar-type H+-ATPase, subunit K (AtpE) (PDB:1C17)"	0	1	1	NA	COG0636	GC_00000280	1	1	61	26
"Cysteine protease, C1A family (PDB:1AEC)"	0	1	1	NA	COG4870	"GC_00000070, GC_00000118, GC_00001565, GC_00001581, GC_00001592, GC_00001608, GC_00002179, GC_00002873, GC_00003093, GC_00003151, GC_00003176, GC_00003747"	1	1	61	26
"Predicted transcriptional regulator, contains HTH domain"	0	1	1	NA	COG4742	"GC_00000075, GC_00000762, GC_00001286"	1	1	61	26
"Fe-S cluster carrier ATPase, Mrp/ApbC/NBP35 family (Mrp) (PDB:2PH1) (PUBMED:18616280;19114487;31709520)"	0	1	1	NA	COG0489	GC_00000423	1	1	61	26
"Predicted regulator of amino acid metabolism, contains ACT domain"	0	1	1	NA	COG2150	GC_00000598	1	1	61	26
"Tetrahydromethanopterin S-methyltransferase, subunit G (MtrG)"	0	1	1	NA	COG4064	GC_00000396	1	1	61	26
"Endonuclease YncB, thermonuclease family (YncB)"	0	1	1	NA	COG1525	"GC_00000746, GC_00002347"	1	1	61	26
Molybdopterin or thiamine biosynthesis adenylyltransferase (ThiF) (PDB:1ZUD) (PUBMED:32239579)	0	1	1	NA	COG0476	GC_00001338	1	1	61	26
Cobalamin biosynthesis cobaltochelatase CobT subunit (CobT2)	0	1	1	NA	COG4547	"GC_00001312, GC_00001482, GC_00001621, GC_00002276"	1	1	61	26
Ribosomal protein S7 (RpsG) (PDB:4V4H)	0	1	1	NA	COG0049	GC_00000243	1	1	61	26
"Translation initiation factor IF-2, a GTPase (InfB) (PDB:5ME0)"	0	1	1	NA	COG0532	GC_00000663	1	1	61	26
RNA polymerase subunit RPABC4/transcription elongation factor Spt4 (Spt4) (PDB:1RYQ)	0	1	1	NA	COG2093	GC_00000316	1	1	61	26
"Tetrahydromethanopterin S-methyltransferase, subunit A (MtrA) (PDB:5L8X)"	0	1	1	NA	COG4063	GC_00000774	1	1	61	26
"Multisubunit Na+/H+ antiporter, MnhE subunit (MnhE) (PDB:6CFW)"	0	1	1	NA	COG1863	GC_00000366	1	1	61	26
"DNA-directed RNA polymerase, beta subunit/140 kD subunit (RpoB) (PDB:5UAJ)"	0	1	1	NA	COG0085	"GC_00000128, GC_00000653, GC_00004042"	1	1	61	26
Predicted dinucleotide-utilizing enzyme of the ThiF/HesA family	0	1	1	NA	COG4015	GC_00001242	1	1	61	26
Superfamily II DNA and RNA helicase (SrmB) (PDB:3RRM)	0	1	1	NA	COG0513	GC_00000430	1	1	61	26
"Exosome complex RNA-binding protein Csl4, contains S1 and Zn-ribbon domains (Csl4) (PDB:2BA1)"	0	1	1	NA	COG1096	GC_00000344	1	1	61	26
Nicotinamide mononucleotide adenylyltransferase (NadR) (PDB:1LW7)	0	1	1	NA	COG1056	GC_00000662	1	1	61	26
Peptidyl-prolyl cis-trans isomerase (rotamase) - cyclophilin family (PpiB) (PDB:4DGD)	0	1	1	NA	COG0652	GC_00000359	1	1	61	26
tRNA nucleotidyltransferase (CCA-adding enzyme) (CCA1) (PDB:3OUY)	0	1	1	NA	COG1746	GC_00001327	1	1	61	26
"ADP-ribose pyrophosphatase YjhB, NUDIX family (YjhB) (PDB:3GZ5)"	0	1	1	NA	COG1051	"GC_00000151, GC_00000984, GC_00001536"	1	1	61	26
"Cell shape-determining ATPase MreB, actin-like superfamily (MreB) (PDB:1JCE)"	0	1	1	NA	COG1077	GC_00000360	1	1	61	26
Predicted RNA methylase	0	1	1	NA	COG4076	GC_00000910	1	1	61	26
"Putative GTP cyclohydrolase 1 type 2, NIF3 family (NIF3) (PDB:3SY1) (PUBMED:24435797;26385509)"	0	1	1	NA	COG0327	GC_00001285	1	1	61	26
2-methylcitrate dehydratase PrpD (PrpD) (PDB:1SZQ)	0	1	1	NA	COG2079	GC_00000127	1	1	61	26
"Ribosome-binding ATPase YchF, GTP1/OBG family (GTP1) (PDB:2DWQ) (PUBMED:21527254)"	0	1	1	NA	COG0012	GC_00000471	1	1	61	26
"Multisubunit Na+/H+ antiporter, MnhB subunit (MnhB)"	0	1	1	NA	COG2111	"GC_00000401, GC_00000860"	1	1	61	26
"Uncharacterized membrane protein MJ0419, predicted role in archaeal polysaccharide biosynthesis (MJ0419) (PUBMED:25583072)"	0	1	1	NA	COG1822	"GC_00001315, GC_00001335"	1	1	61	26
Archaeal pantoate kinase (PDB:6JBC) (PUBMED:22865846)	0	1	1	NA	COG1829	GC_00001358	1	1	61	26
"Malate/lactate/ureidoglycolate dehydrogenase, LDH2 family (AllD) (PDB:1NXU)"	0	1	1	NA	COG2055	GC_00000718	1	1	61	26
Phosphate uptake regulator PhoU (PhoU) (PDB:1T8B)	0	1	1	NA	COG0704	"GC_00000806, GC_00001342"	1	1	61	26
HD superfamily phosphohydrolase (YdhJ) (PDB:2HEK)	0	1	1	NA	COG1078	GC_00000928	1	1	61	26
"DNA-directed RNA polymerase, subunit F (RpoF)"	0	1	1	NA	COG1460	GC_00000664	1	1	61	26
"Uncharacterized conserved protein, contains N-terminal Zn-finger domain"	0	1	1	NA	COG1771	GC_00001151	1	1	61	26
ATP-dependent DNA ligase (CDC9) (PDB:1A0I)	0	1	1	NA	COG1793	GC_00001193	1	1	61	26
Methenyltetrahydromethanopterin cyclohydrolase (Mch) (PDB:1QLM)	0	1	1	NA	COG3252	GC_00000387	1	1	61	26
DNA/RNA-binding protein AlbA/Ssh10b (AlbA) (PDB:1H0X) (PUBMED:18821773)	0	1	1	NA	COG1581	GC_00000240	1	1	61	26
"Predicted transcriptional regulator YdeE, contains AraC-type DNA-binding domain (YdeE)"	0	1	1	NA	COG3708	GC_00000422	1	1	61	26
"AAA+-type ATPase, SpoVK/Ycf46/Vps4 family (SpoVK) (PDB:3SYL)"	0	1	1	NA	COG0464	"GC_00000761, GC_00003824"	1	1	61	26
"dTDP-4-amino-4,6-dideoxygalactose transaminase (WecE) (PDB:4PIW) (PUBMED:15271350)"	0	1	1	NA	COG0399	"GC_00000986, GC_00001228, GC_00001376"	1	1	61	26
tRNA(Arg) A34 adenosine deaminase TadA (TadA) (PDB:2A8N)	0	1	1	NA	COG0590	GC_00001017	1	1	61	26
"Clumping factor A-related surface protein, MSCRAMM (microbial surface components recognizing adhesive matrix molecules) family, DEv-IgG fold (ClfA) (PDB:1N67) (PUBMED:12485987)"	0	1	1	NA	COG4932	"GC_00000026, GC_00000037, GC_00000213, GC_00001417, GC_00001535, GC_00001559, GC_00001612, GC_00001620, GC_00001636, GC_00001637, GC_00001647, GC_00001650, GC_00001754, GC_00001762, GC_00001775, GC_00001790, GC_00001791, GC_00001796, GC_00001832, GC_00001837, GC_00001846, GC_00001960, GC_00002006, GC_00002104, GC_00002250, GC_00002387, GC_00002440, GC_00002863, GC_00003167"	1	1	61	26
Porphobilinogen deaminase (HemC) (PDB:1AH5)	0	1	1	NA	COG0181	GC_00000790	1	1	61	26
"ABC-type proline/glycine betaine transport system, permease component (OpuBB)!!!Periplasmic glycine betaine/choline-binding (lipo)protein of an ABC-type transport system (osmoprotectant binding protein) (OsmF) (PDB:4WEP)"	0	1	1	NA	COG1174!!!COG1732	GC_00000011	1	1	61	26
"Uncharacterized conserved membrane protein, UPF0127 family (PDB:3M7A)"	0	1	1	NA	COG1430	GC_00000373	1	1	61	26
Ribosomal protein L4 (RplD) (PDB:1VS6)	0	1	1	NA	COG0088	GC_00000124	1	1	61	26
CRISPR-Cas system-associated integrase Cas1 (Cas1) (PDB:2YZS)	0	1	1	NA	COG1518	"GC_00000050, GC_00001558, GC_00001723, GC_00001923"	1	1	61	26
"tRNA U34 5-carboxymethylaminomethylation enzyme Elp3 (RNA elongator complex protein 3), contains radical SAM and acetyltransferase domains (ELP3) (PDB:6IA8) (PUBMED:25151136;27455459)"	0	1	1	NA	COG1243	GC_00001141	1	1	61	26
Archaeal/vacuolar-type H+-ATPase subunit D/Vma8 (NtpD) (PDB:3AON)	0	1	1	NA	COG1394	GC_00000287	1	1	61	26
Formylmethanofuran:tetrahydromethanopterin formyltransferase (Ftr) (PDB:1FTR)	0	1	1	NA	COG2037	"GC_00000420, GC_00000983"	1	1	61	26
"Multimeric flavodoxin WrbA, includes NAD(P)H:quinone oxidoreductase (WrbA) (PDB:4DY4)"	0	1	1	NA	COG0655	"GC_00000087, GC_00000652, GC_00000937, GC_00001180, GC_00001184"	1	1	61	26
Diphthamide synthase subunit DPH2 (DPH2) (PDB:3LZC)	0	1	1	NA	COG1736	GC_00000919	1	1	61	26
"Predicted permease, AEC (auxin efflux carrier) family (YfdV)"	0	1	1	NA	COG0679	GC_00000715	1	1	61	26
Archaeal/vacuolar-type H+-ATPase subunit F/Vma7 (NtpF) (PDB:2D00)	0	1	1	NA	COG1436	GC_00000273	1	1	61	26
"Eukaryotic-type DNA primase, catalytic (small) subunit (PRI1) (PDB:1G71)"	0	1	1	NA	COG1467	GC_00001172	1	1	61	26
"Glyoxylase or a related metal-dependent hydrolase, beta-lactamase superfamily II (GloB) (PDB:1QH3) (PUBMED:25670698)"	0	1	1	NA	COG0491	GC_00000441	1	1	61	26
"DNA-binding transcriptional regulator, PadR family (PadR) (PDB:1XMA) (PUBMED:19096365)"	0	1	1	NA	COG1695	"GC_00000549, GC_00002471, GC_00003451"	1	1	61	26
"O-acetylhomoserine/O-acetylserine sulfhydrylase, pyridoxal phosphate-dependent (MET17) (PDB:2CTZ)"	0	1	1	NA	COG2873	"GC_00000753, GC_00000754"	1	1	61	26
Nicotinate-nucleotide pyrophosphorylase (NadC) (PDB:1O4U)	0	1	1	NA	COG0157	GC_00000950	1	1	61	26
Purine nucleoside phosphorylase (XapA) (PDB:1YQQ)	0	1	1	NA	COG0005	GC_00001005	1	1	61	26
"Eukaryotic-type DNA primase, large subunit (PRI2)"	0	1	1	NA	COG2219	GC_00001257	1	1	61	26
Isopentenyl phosphate kinase (PDB:3LKK) (PUBMED:16621811)	0	1	1	NA	COG1608	GC_00000540	1	1	61	26
"Predicted membrane-associated lipid hydrolase, neutral ceramidase superfamily (PUBMED:10781606)"	0	1	1	NA	COG3356	GC_00001220	1	1	61	26
3-hydroxy-3-methylglutaryl CoA synthase (PksG) (PDB:1TVZ)	0	1	1	NA	COG3425	GC_00000429	1	1	61	26
Archaeal CTP-dependent riboflavin kinase (Rfk) (PDB:2OYN)	0	1	1	NA	COG1339	GC_00000434	1	1	61	26
"Predicted DNA-binding protein, UPF0251 family"	0	1	1	NA	COG1342	GC_00000810	1	1	61	26
Formate hydrogenlyase subunit 6/NADH:ubiquinone oxidoreductase 23 kD subunit (chain I) (NuoI) (PDB:1B0P)!!!Ferredoxin (NapF) (PDB:6FAH)	0	1	1	NA	COG1143!!!COG1145	GC_00000789	1	1	61	26
"Fe-S cluster-containing oxidoreductase, includes glycolate oxidase subunit GlcF (GlpC)"	0	1	1	NA	COG0247	"GC_00000797, GC_00001001"	1	1	61	26
Sortase (surface protein transpeptidase) (SrtA) (PDB:1IJA)	0	1	1	NA	COG3764	GC_00000812	1	1	61	26
rRNA processing protein Gar1 (GAR1) (PDB:2EQN)	0	1	1	NA	COG3277	GC_00000388	1	1	61	26
"Precorrin-3B methylase (CobJ) (PDB:2ZVB)!!!Uncharacterized conserved protein, contains a Zn-finger-like domain (PUBMED:17250770)"	0	1	1	NA	COG1010!!!COG2158	GC_00000938	1	1	61	26
Uncharacterized conserved protein MJ0491	0	1	1	NA	COG4077	GC_00000742	1	1	61	26
Undecaprenyl pyrophosphate phosphatase (UppP) (PDB:5OON)	0	1	1	NA	COG1968	GC_00000611	1	1	61	26
"Uncharacterized protein, contains ACT and PBP-like DUF5612 domains, MJ1458 family (AF1403) (PDB:1Y7P)"	0	1	1	NA	COG1707	GC_00000565	1	1	61	26
Imidazoleglycerol phosphate dehydratase HisB (HisB2) (PDB:1RHY)	0	1	1	NA	COG0131	GC_00000954	1	1	61	26
"ABC-type transport system involved in multi-copper enzyme maturation, permease component (NosY)"	0	1	1	NA	COG1277	"GC_00000100, GC_00001022"	1	1	61	26
"Cobyrinic acid a,c-diamide synthase (CobB)"	0	1	1	NA	COG1797	GC_00001279	1	1	61	26
"Sialic acid synthase SpsE, contains C-terminal SAF domain (SpsE) (PDB:1VLI)"	0	1	1	NA	COG2089	GC_00001314	1	1	61	26
Predicted oxidoreductase of the aldo/keto reductase family	0	1	1	NA	COG1453	"GC_00001148, GC_00001170, GC_00001353, GC_00001404"	1	1	61	26
"Predicted phosphohydrolase, HAD superfamily (PDB:1Y8A)"	0	1	1	NA	COG4030	GC_00001340	1	1	61	26
Exopolyphosphatase/pppGpp-phosphohydrolase (GppA) (PDB:1T6C)	0	1	1	NA	COG0248	GC_00001074	1	1	61	26
"Pyruvate:ferredoxin oxidoreductase or related 2-oxoacid:ferredoxin oxidoreductase, beta subunit (PorB) (PDB:1B0P)"	0	1	1	NA	COG1013	"GC_00000364, GC_00000807"	1	1	61	26
"Mevalonate 5-phosphate dehydratase subunit 2, swiveling domain (modified mevalonate pathway) (AcnX2) (PDB:2HI6) (PUBMED:30224495)"	0	1	1	NA	COG1786	GC_00000523	1	1	61	26
"Predicted ATPase, PilT family, contains N-terminal PIN domain (PilT) (PDB:5F4H)"	0	1	1	NA	COG1855	GC_00000204	1	1	61	26
"L-ascorbate lactonase UlaG, metallo-beta-lactamase superfamily (UlaG) (PDB:2WYM)"	0	1	1	NA	COG2220	GC_00000570	1	1	61	26
"Ni,Fe-hydrogenase III large subunit (HycE2) (PDB:6CFW)"	0	1	1	NA	COG3261	"GC_00000496, GC_00000609"	1	1	61	26
Ribosomal protein L14 (RplN) (PDB:4V4H)	0	1	1	NA	COG0093	GC_00000231	1	1	61	26
MoxR-like ATPase (MoxR) (PDB:2R44)	0	1	1	NA	COG0714	"GC_00000778, GC_00003807, GC_00003868, GC_00004146"	1	1	61	26
"Uncharacterized OB-fold protein, contains Zn-ribbon domain (PDB:3IRB)"	0	1	1	NA	COG1545	GC_00000247	1	1	61	26
Ribosomal protein S5 (RpsE) (PDB:4V4H)	0	1	1	NA	COG0098	GC_00000319	1	1	61	26
"Formate dehydrogenase assembly factor FdhD, a sulfurtransferase (FdhD) (PDB:2PW9)"	0	1	1	NA	COG1526	"GC_00001398, GC_00001477, GC_00001868"	1	1	61	26
"Uncharacterized conserved protein, DUF2099 domain"	0	1	1	NA	COG4022	"GC_00001370, GC_00003647"	1	1	61	26
Glycerol-1-phosphate heptaprenyltransferase (PcrB) (PDB:1VIZ)	0	1	1	NA	COG1646	GC_00000979	1	1	61	26
ParA-like ATPase involved in chromosome/plasmid partitioning or cellulose biosynthesis protein BcsQ (ParA) (PDB:6NOO)	0	1	1	NA	COG1192	"GC_00000505, GC_00003654"	1	1	61	26
"Ni,Fe-hydrogenase III small subunit (HycG) (PDB:6CFW)"	0	1	1	NA	COG3260	"GC_00000374, GC_00000433"	1	1	61	26
Predicted nucleic acid-binding OB-fold protein (PDB:2I5H)	0	1	1	NA	COG1491	GC_00000133	1	1	61	26
"Uncharacterized conserved protein, DUF1284 domain"	0	1	1	NA	COG3543	GC_00001010	1	1	61	26
4-hydroxybenzoate polyprenyltransferase (UbiA) (PDB:4OD4) (PUBMED:28830929)	0	1	1	NA	COG0382	GC_00000684	1	1	61	26
Formylmethanofuran dehydrogenase subunit E (FwdE) (PDB:2GLZ)	0	1	1	NA	COG2191	GC_00000478	1	1	61	26
Glutamine synthetase (GlnA) (PDB:1F1H)	0	1	1	NA	COG0174	GC_00000615	1	1	61	26
Glutamate-1-semialdehyde aminotransferase (HemL) (PDB:2CFB)	0	1	1	NA	COG0001	GC_00001190	1	1	61	26
HEAT repeat (HEAT) (PDB:1OYZ)	0	1	1	NA	COG1413	"GC_00000717, GC_00000993"	1	1	61	26
"Na+-dependent transporter, SNF family (YocR) (PDB:2A65)"	0	1	1	NA	COG0733	"GC_00000004, GC_00001475"	1	1	61	26
Acyl-CoA reductase or other NAD-dependent aldehyde dehydrogenase (AdhE) (PDB:1A4S)	0	1	1	NA	COG1012	GC_00001302	1	1	61	26
"Exonuclease VII, large subunit (XseA)"	0	1	1	NA	COG1570	GC_00000071	1	1	61	26
Zn-dependent protease with chaperone function (HtpX) (PDB:2YPT)	0	1	1	NA	COG0501	GC_00000866	1	1	61	26
"Uncharacterized conserved protein, DUF169 family"	0	1	1	NA	COG2043	GC_00000765	1	1	61	26
"Predicted protein kinase regulating ubiquinone biosynthesis, AarF/ABC1/UbiB family (AarF) (PDB:4PED)"	0	1	1	NA	COG0661	GC_00001388	1	1	61	26
Small-conductance mechanosensitive channel MscK (MscK)	0	1	1	NA	COG3264	GC_00001162	1	1	61	26
"Formate hydrogenlyase subunit 6/NADH:ubiquinone oxidoreductase 23 kD subunit (chain I) (NuoI) (PDB:1B0P)!!!TPP-dependent indolepyruvate ferredoxin oxidoreductase, alpha subunit (IorA)"	0	1	1	NA	COG1143!!!COG4231	GC_00000696	1	1	61	26
"Sulfopyruvate decarboxylase, TPP-binding subunit (coenzyme M biosynthesis)"	0	1	1	NA	COG4032	GC_00000704	1	1	61	26
Creatinine amidohydrolase/Fe(II)-dependent FAPy formamide hydrolase (riboflavin and F420 biosynthesis) (ArfB) (PDB:1J2T)	0	1	1	NA	COG1402	GC_00000602	1	1	61	26
F420-dependent methylenetetrahydromethanopterin dehydrogenase (Mtd) (PDB:1QV9)	0	1	1	NA	COG1927	GC_00000612	1	1	61	26
Repressor of nif and glnA expression (PDB:3NEK)	0	1	1	NA	COG1693	GC_00001311	1	1	61	26
Sulfur carrier protein ThiS (thiamine biosynthesis) (ThiS) (PDB:1F0Z)	0	1	1	NA	COG2104	GC_00000588	1	1	61	26
Ribose 5-phosphate isomerase (RpiA) (PDB:1KS2)	0	1	1	NA	COG0120	GC_00000725	1	1	61	26
Ribosomal protein S17E (RPS17A) (PDB:1RQ6)	0	1	1	NA	COG1383	GC_00000238	1	1	61	26
"Uncharacterized conserved protein, UPF0280 family, ApbE superfamily (PDB:2O34)"	0	1	1	NA	COG2122	GC_00001213	1	1	61	26
Ribosomal protein S13 (RpsM) (PDB:4V4H)	0	1	1	NA	COG0099	GC_00000326	1	1	61	26
Translation elongation factor EF-1beta (EFB1) (PDB:2B7B)	0	1	1	NA	COG2092	GC_00000384	1	1	61	26
Peptidyl-tRNA hydrolase (Pth2) (PDB:1Q7S)	0	1	1	NA	COG1990	GC_00000474	1	1	61	26
"ABC-type phosphate transport system, permease component (PstC)"	0	1	1	NA	COG0573	GC_00000548	1	1	61	26
"Uncharacterized conserved protein MTH_811, UPF0305 family"	0	1	1	NA	COG4066	"GC_00000921, GC_00000992"	1	1	61	26
"Methyl coenzyme M reductase, beta subunit (McorB) (PDB:5N28)"	0	1	1	NA	COG4054	GC_00000093	1	1	61	26
"Predicted ATPase, AAA+ superfamily"	0	1	1	NA	COG1373	"GC_00000016, GC_00000036, GC_00000039, GC_00000203, GC_00000820, GC_00001507, GC_00001519, GC_00001523, GC_00001541, GC_00001557, GC_00001590, GC_00001916, GC_00002015, GC_00002448, GC_00002581, GC_00002588, GC_00002855, GC_00003084, GC_00003192"	1	1	61	26
5-enolpyruvylshikimate-3-phosphate synthase (AroA) (PDB:4N3P)	0	1	1	NA	COG0128	GC_00001357	1	1	61	26
"Glycerol-3-phosphate cytidylyltransferase, cytidylyltransferase family (TagD) (PDB:2B7L)"	0	1	1	NA	COG0615	GC_00000599	1	1	61	26
Argininosuccinate lyase (ArgH) (PDB:1AOS)	0	1	1	NA	COG0165	GC_00000419	1	1	61	26
"Permease, similar to cation transporters (MgtE2)"	0	1	1	NA	COG1824	GC_00001086	1	1	61	26
Ribosomal protein S8E (RPS8A) (PDB:2KCO)	0	1	1	NA	COG2007	GC_00000258	1	1	61	26
"Pyruvate:ferredoxin oxidoreductase or related 2-oxoacid:ferredoxin oxidoreductase, beta subunit (PorB) (PDB:1B0P)!!!Pyruvate:ferredoxin oxidoreductase or related 2-oxoacid:ferredoxin oxidoreductase, gamma subunit (PorG) (PDB:1B0P)"	0	1	1	NA	COG1013!!!COG1014	GC_00001051	1	1	61	26
Enolase (Eno) (PDB:1E9I)	0	1	1	NA	COG0148	"GC_00000383, GC_00003651"	1	1	61	26
3-isopropylmalate dehydratase small subunit (LeuD) (PDB:3Q3W)	0	1	1	NA	COG0066	"GC_00000683, GC_00001501, GC_00002853"	1	1	61	26
Xaa-Pro aminopeptidase (PepP) (PDB:1A16)	0	1	1	NA	COG0006	GC_00001292	1	1	61	26
"ABC-type multidrug transport system, permease component (YadH)"	0	1	1	NA	COG0842	"GC_00000678, GC_00000687"	1	1	61	26
Ribosomal protein S27AE (RPS27ae) (PDB:2K4X)	0	1	1	NA	COG1998	GC_00000236	1	1	61	26
"5-methylthioribose/5-deoxyribulose 1-phosphate isomerase (methionine salvage pathway), a paralog of eIF-2B alpha subunit (MtnA) (PDB:1T5O) (PUBMED:31950558)"	0	1	1	NA	COG0182	GC_00001188	1	1	61	26
Aspartate kinase (MetL1) (PDB:2CDQ)	0	1	1	NA	COG0527	GC_00000122	1	1	61	26
"Penicillin V acylase or related amidase, Ntn superfamily (YxeI) (PDB:2BJF)"	0	1	1	NA	COG3049	GC_00000936	1	1	61	26
Tyrosyl-tRNA synthetase (TyrS) (PDB:4OUD)	0	1	1	NA	COG0162	GC_00000150	1	1	61	26
Histidinol-phosphate/aromatic aminotransferase or cobyric acid decarboxylase (HisC) (PDB:4R2N)	0	1	1	NA	COG0079	GC_00000859	1	1	61	26
"Transcriptional regulator of NAD metabolism, contains HTH and 3H domains (NiaR) (PDB:1J5Y)!!!2-phosphoglycerate kinase/Mevalonate-3-phosphate 5-kinase (Pgk2)"	0	1	1	NA	COG1827!!!COG2074	GC_00000524	1	1	61	26
Trans-aconitate methyltransferase (Tam) (PDB:2P35)	0	1	1	NA	COG4106	GC_00001189	1	1	61	26
"Queuine/archaeosine tRNA-ribosyltransferase (Tgt) (PDB:1XW8) (PUBMED:15805528)!!!tRNA-guanine transglycosylase, archaeosine-15-forming, contains TGT and PUA domains (ArcTGT) (PDB:1IQ8) (PUBMED:22032275)"	0	1	1	NA	COG0343!!!COG1370	GC_00001299	1	1	61	26
Cation-transporting P-type ATPase (ZntA) (PDB:4BBJ)!!!Copper chaperone CopZ (CopZ) (PDB:1AFI)	0	1	1	NA	COG2217!!!COG2608	GC_00000019	1	1	61	26
Broad specificity polyphosphatase and 5'/3'-nucleotidase SurE (SurE) (PDB:2V4N)	0	1	1	NA	COG0496	GC_00000786	1	1	61	26
Deoxyribose-phosphate aldolase (DeoC) (PDB:1J2W)	0	1	1	NA	COG0274	"GC_00000883, GC_00003342"	1	1	61	26
dsRNA-specific ribonuclease (Rnc) (PDB:1DI2)	0	1	1	NA	COG0571	GC_00000926	1	1	61	26
"Ribosome quality control (RQC) protein RqcH, Rqc2/NEMF/Tae2 family, contains fibronectin-(FbpA) and RNA- (NFACT) binding domains (RqcH) (PDB:5H3W) (PUBMED:31155236;24646681)"	0	1	1	NA	COG1293	GC_00001412	1	1	61	26
Small nuclear ribonucleoprotein (snRNP) homolog (LSM1) (PDB:1B34)	0	1	1	NA	COG1958	"GC_00000241, GC_00000425"	1	1	61	26
tRNA(Glu) U13 pseudouridine synthase TruD (TruD) (PDB:1SB7)	0	1	1	NA	COG0585	GC_00001138	1	1	61	26
2-C-methyl-D-erythritol 4-phosphate cytidylyltransferase (IspD) (PDB:1H3M)	0	1	1	NA	COG1211	"GC_00000867, GC_00001081"	1	1	61	26
Fe2+ transporter FeoB (FeoB) (PDB:3TAH) (PUBMED:32095817)	0	1	1	NA	COG0370	GC_00000709	1	1	61	26
"Methyl coenzyme M reductase, subunit D (McorD)"	0	1	1	NA	COG4055	"GC_00000269, GC_00002972"	1	1	61	26
tRNA(Ile)-lysidine synthase TilS/MesJ (TilS) (PDB:1NI5) (PUBMED:21435031)	0	1	1	NA	COG0037	"GC_00000651, GC_00000686"	1	1	61	26
"Translation initiation factor 2, alpha subunit (eIF-2alpha) (SUI2) (PDB:1KL9)"	0	1	1	NA	COG1093	GC_00000614	1	1	61	26
"Glycerol dehydrogenase or related enzyme, iron-containing ADH family (GldA) (PDB:3S99) (PUBMED:20688982)"	0	1	1	NA	COG0371	GC_00000767	1	1	61	26
Phosphomannomutase (ManB) (PDB:6MNV)	0	1	1	NA	COG1109	"GC_00000821, GC_00000832"	1	1	61	26
dCTP deaminase (Dcd) (PDB:1XS1)	0	1	1	NA	COG0717	"GC_00000511, GC_00000759, GC_00002303, GC_00002836"	1	1	61	26
"Predicted class III extradiol dioxygenase, MEMO1 family (Mho1) (PDB:3BCZ)"	0	1	1	NA	COG1355	GC_00000143	1	1	61	26
"Uncharacterized conserved protein, DUF749 domain (PDB:1IQO)"	0	1	1	NA	COG4009	GC_00000249	1	1	61	26
Biotin transporter BioY (BioY) (PDB:4DVE)	0	1	1	NA	COG1268	GC_00001045	1	1	61	26
"Flavin-dependent oxidoreductase, luciferase family (includes alkanesulfonate monooxygenase SsuD and methylene tetrahydromethanopterin reductase) (SsuD) (PDB:1BRL)"	0	1	1	NA	COG2141	GC_00000945	1	1	61	26
Energy-converting hydrogenase Eha subunit A (EhaA) (PUBMED:19495416)	0	1	1	NA	COG4042	GC_00000627	1	1	61	26
"NDP-sugar pyrophosphorylase, includes eIF-2Bgamma, eIF-2Bepsilon, and LPS biosynthesis protein s (GCD1) (PDB:6JQ8)"	0	1	1	NA	COG1208	GC_00001158	1	1	61	26
"C-terminal domain of the GTP 3',8'-cyclase MoaA, radical SAM superfamily (molybdenum cofactor biosynthesis) (MoaA2) (PUBMED:25941396)"	0	1	1	NA	COG1964	GC_00000162	1	1	61	26
"Uncharacterized membrane protein YdbT, contains bPH2 (bacterial pleckstrin homology) domain (YdbT)"	0	1	1	NA	COG3428	GC_00001330	1	1	61	26
Box C/D ribonucleoprotein Nop56/Prp31/SIK1 subunit (SIK1) (PDB:6ND4) (PUBMED:22496443)	0	1	1	NA	COG1498	GC_00001243	1	1	61	26
Sugar phosphate isomerase/epimerase (YcjR) (PDB:3KTC) (PUBMED:30742415)	0	1	1	NA	COG1082	"GC_00001040, GC_00001052"	1	1	61	26
"Archaea-specific RecJ-like exonuclease, contains DnaJ-type Zn finger domain (PDB:5YH1)"	0	1	1	NA	COG1107	GC_00001116	1	1	61	26
"Exosome complex RNA-binding protein Rrp4, contains S1 and KH domains (Rrp4) (PDB:2Z0S) (PUBMED:12496312)"	0	1	1	NA	COG1097	GC_00000670	1	1	61	26
Precorrin-6x reductase (CobK) (PDB:4X7G)	0	1	1	NA	COG2099	GC_00001026	1	1	61	26
"Succinate dehydrogenase/fumarate reductase, Fe-S protein subunit (SdhB/FrdB) (PDB:6LUM)!!!Coenzyme F420-reducing hydrogenase, beta subunit (FrhB) (PDB:3ZFS)"	0	1	1	NA	COG0479!!!COG1035	GC_00000633	1	1	61	26
Energy-converting hydrogenase A subunit M (EhaM) (PDB:1NXH)	0	1	1	NA	COG4084	GC_00000464	1	1	61	26
"Methyl coenzyme M reductase, subunit C (McorC)"	0	1	1	NA	COG4056	GC_00000279	1	1	61	26
Thiol:disulfide interchange protein DsbD (DsbD) (PDB:1JPE)	0	1	1	NA	COG4232	GC_00000828	1	1	61	26
