KOfam	enrichment_score	unadjusted_p_value	adjusted_q_value	associated_groups	accession	gene_clusters_ids	p_M_intestini	p_M_smithii	N_M_intestini	N_M_smithii
elongator complex protein 3 [EC:2.3.1.48]	0	1	1	NA	K07739	GC_00001141	1	1	26	61
methanogen homoaconitase small subunit [EC:4.2.1.114]	0	1	1	NA	K16793	GC_00000683	1	1	26	61
thioredoxin reductase (NADPH) [EC:1.8.1.9]	0	1	1	NA	K00384	GC_00000994	1	1	26	61
aspartate carbamoyltransferase regulatory subunit	0	1	1	NA	K00610	GC_00000752	1	1	26	61
archaeosine synthase alpha-subunit [EC:2.6.1.97 2.6.1.-]	0	1	1	NA	K07557	GC_00001037	1	1	26	61
ribosome-binding ATPase	0	1	1	NA	K06942	GC_00000471	1	1	26	61
archaea-specific DNA-binding protein	0	1	1	NA	K03622	GC_00000240	1	1	26	61
adenine phosphoribosyltransferase [EC:2.4.2.7]	0	1	1	NA	K00759	GC_00000751	1	1	26	61
molecular chaperone DnaK	0	1	1	NA	K04043	GC_00000898	1	1	26	61
pseudaminic acid synthase [EC:2.5.1.97]	0	1	1	NA	K15898	GC_00001314	1	1	26	61
ArsR family transcriptional regulator	0	1	1	NA	K07721	GC_00000977	1	1	26	61
molecular chaperone GrpE	0	1	1	NA	K03687	GC_00000699	1	1	26	61
glycosyltransferase 2 family protein	0	1	1	NA	K07027	GC_00000924	1	1	26	61
large subunit ribosomal protein L13	0	1	1	NA	K02871	GC_00000246	1	1	26	61
large subunit ribosomal protein L29	0	1	1	NA	K02904	GC_00000218	1	1	26	61
glutamate dehydrogenase (NADP+) [EC:1.4.1.4]	0	1	1	NA	K00262	GC_00000962	1	1	26	61
DNA-binding protein	0	1	1	NA	K24450	"GC_00000002, GC_00002278"	1	1	26	61
S-adenosylmethionine synthetase [EC:2.5.1.6]	0	1	1	NA	K00789	"GC_00000408, GC_00003760"	1	1	26	61
hydrogenase expression/formation protein HypE	0	1	1	NA	K04655	GC_00000412	1	1	26	61
phytol kinase [EC:2.7.1.182]	0	1	1	NA	K18678	GC_00000105	1	1	26	61
"7,8-didemethyl-8-hydroxy-5-deazariboflavin synthase [EC:4.3.1.32]"	0	1	1	NA	K11780	GC_00001216	1	1	26	61
micrococcal nuclease [EC:3.1.31.1]	0	1	1	NA	K01174	GC_00000746	1	1	26	61
16S rRNA (adenine1518-N6/adenine1519-N6)-dimethyltransferase [EC:2.1.1.182]	0	1	1	NA	K02528	GC_00001077	1	1	26	61
elongation factor 1-alpha	0	1	1	NA	K03231	GC_00000657	1	1	26	61
uracil phosphoribosyltransferase [EC:2.4.2.9]	0	1	1	NA	K00761	GC_00000727	1	1	26	61
tRNA nucleotidyltransferase (CCA-adding enzyme) [EC:2.7.7.72]	0	1	1	NA	K07558	GC_00001327	1	1	26	61
TldD protein	0	1	1	NA	K03568	GC_00000115	1	1	26	61
DNA primase [EC:2.7.7.101]	0	1	1	NA	K02316	GC_00000676	1	1	26	61
omega-amidase [EC:3.5.1.3]	0	1	1	NA	K13566	GC_00000134	1	1	26	61
ornithine carbamoyltransferase [EC:2.1.3.3]	0	1	1	NA	K00611	GC_00000835	1	1	26	61
"ammonium transporter, Amt family"	0	1	1	NA	K03320	GC_00001012	1	1	26	61
superoxide reductase [EC:1.15.1.2]	0	1	1	NA	K05919	GC_00000659	1	1	26	61
"ATP-binding cassette, subfamily B, bacterial"	0	1	1	NA	K06147	"GC_00000183, GC_00001214"	1	1	26	61
CTP synthase [EC:6.3.4.2]	0	1	1	NA	K01937	GC_00001131	1	1	26	61
sirohydrochlorin cobalto/nickelchelatase [EC:4.99.1.3 4.99.1.11]	0	1	1	NA	K22011	"GC_00000081, GC_00001034"	1	1	26	61
"pyridinium-3,5-bisthiocarboxylic acid mononucleotide nickel chelatase [EC:4.99.1.12]"	0	1	1	NA	K09121	GC_00001380	1	1	26	61
tRNA pseudouridine38-40 synthase [EC:5.4.99.12]	0	1	1	NA	K06173	GC_00000930	1	1	26	61
acetolactate synthase I/III small subunit [EC:2.2.1.6]	0	1	1	NA	K01653	GC_00000253	1	1	26	61
small membrane protein	0	1	1	NA	K09153	GC_00000576	1	1	26	61
cobalt/nickel transport system permease protein	0	1	1	NA	K02007	"GC_00000157, GC_00000573, GC_00001157, GC_00001307, GC_00001467"	1	1	26	61
glucosyltransferase [EC:2.4.1.-]	0	1	1	NA	K12999	GC_00000173	1	1	26	61
DNA excision repair protein ERCC-4 [EC:3.1.-.-]	0	1	1	NA	K10848	GC_00000639	1	1	26	61
methylamine---glutamate N-methyltransferase subunit C [EC:2.1.1.21]	0	1	1	NA	K22083	"GC_00000208, GC_00000349"	1	1	26	61
exodeoxyribonuclease VII large subunit [EC:3.1.11.6]	0	1	1	NA	K03601	GC_00000071	1	1	26	61
large subunit ribosomal protein L4e	0	1	1	NA	K02930	GC_00000124	1	1	26	61
"PadR family transcriptional regulator, regulatory protein PadR"	0	1	1	NA	K10947	"GC_00000549, GC_00002471"	1	1	26	61
pantetheine-phosphate adenylyltransferase [EC:2.7.7.3]	0	1	1	NA	K02201	"GC_00000526, GC_00003832"	1	1	26	61
cobalt-precorrin-6B (C15)-methyltransferase [EC:2.1.1.196]	0	1	1	NA	K02191	GC_00000796	1	1	26	61
tRNA(His) guanylyltransferase [EC:2.7.7.79]	0	1	1	NA	K10761	GC_00000177	1	1	26	61
small subunit ribosomal protein S17e	0	1	1	NA	K02962	GC_00000238	1	1	26	61
"tritrans,polycis-undecaprenyl-diphosphate synthase [geranylgeranyl-diphosphate specific] [EC:2.5.1.89]"	0	1	1	NA	K15888	GC_00000650	1	1	26	61
cysteine-S-conjugate beta-lyase [EC:4.4.1.13]	0	1	1	NA	K14155	GC_00000171	1	1	26	61
small subunit ribosomal protein S24e	0	1	1	NA	K02974	GC_00000479	1	1	26	61
triosephosphate isomerase (TIM) [EC:5.3.1.1]	0	1	1	NA	K01803	GC_00000141	1	1	26	61
coenzyme F420 hydrogenase subunit beta [EC:1.12.98.1]	0	1	1	NA	K00441	"GC_00000771, GC_00001234"	1	1	26	61
"lysyl-tRNA synthetase, class I [EC:6.1.1.6]"	0	1	1	NA	K04566	GC_00001007	1	1	26	61
energy-coupling factor transport system permease protein	0	1	1	NA	K16785	GC_00000824	1	1	26	61
"chloride channel protein, CIC family"	0	1	1	NA	K03281	GC_00001282	1	1	26	61
DNA ligase 1 [EC:6.5.1.1 6.5.1.6 6.5.1.7]	0	1	1	NA	K10747	GC_00001193	1	1	26	61
succinyl-CoA synthetase beta subunit [EC:6.2.1.5]	0	1	1	NA	K01903	GC_00000845	1	1	26	61
2-phosphoglycerate kinase [EC:2.7.2.16]	0	1	1	NA	K05715	GC_00000649	1	1	26	61
8-hydroxy-5-deazaflavin:NADPH oxidoreductase [EC:1.5.1.40]	0	1	1	NA	K06988	GC_00000558	1	1	26	61
precorrin-3B C17-methyltransferase [EC:2.1.1.131]	0	1	1	NA	K05934	GC_00000938	1	1	26	61
histidinol-phosphate aminotransferase [EC:2.6.1.9]	0	1	1	NA	K00817	GC_00000859	1	1	26	61
nitrogen fixation protein NifU and related proteins	0	1	1	NA	K04488	GC_00000961	1	1	26	61
heterodisulfide reductase subunit A1 [EC:1.8.7.3]	0	1	1	NA	K22480	GC_00001011	1	1	26	61
energy-converting hydrogenase A subunit R	0	1	1	NA	K14109	GC_00001340	1	1	26	61
L-lactate dehydrogenase complex protein LldG	0	1	1	NA	K00782	GC_00001112	1	1	26	61
dihydroxy-acid dehydratase [EC:4.2.1.9]	0	1	1	NA	K01687	GC_00001247	1	1	26	61
cobalt-zinc-cadmium efflux system protein	0	1	1	NA	K16264	GC_00001083	1	1	26	61
glutamyl-tRNA reductase [EC:1.2.1.70]	0	1	1	NA	K02492	GC_00000791	1	1	26	61
small subunit ribosomal protein S5	0	1	1	NA	K02988	GC_00000319	1	1	26	61
energy-converting hydrogenase A subunit F	0	1	1	NA	K14097	GC_00000974	1	1	26	61
inner membrane protein	0	1	1	NA	K07038	"GC_00001183, GC_00001799"	1	1	26	61
UTP--glucose-1-phosphate uridylyltransferase [EC:2.7.7.9]	0	1	1	NA	K00963	GC_00001238	1	1	26	61
glyceraldehyde-3-phosphate dehydrogenase (NAD(P)) [EC:1.2.1.59]	0	1	1	NA	K00150	GC_00000884	1	1	26	61
porphobilinogen synthase [EC:4.2.1.24]	0	1	1	NA	K01698	GC_00000601	1	1	26	61
molybdenum cofactor cytidylyltransferase [EC:2.7.7.76]	0	1	1	NA	K07141	GC_00000894	1	1	26	61
energy-converting hydrogenase B subunit G	0	1	1	NA	K14116	GC_00000584	1	1	26	61
"cobyrinic acid a,c-diamide synthase [EC:6.3.5.9 6.3.5.11]"	0	1	1	NA	K02224	GC_00001279	1	1	26	61
FKBP-type peptidyl-prolyl cis-trans isomerase SlyD [EC:5.2.1.8]	0	1	1	NA	K03775	GC_00000443	1	1	26	61
energy-converting hydrogenase B subunit P	0	1	1	NA	K14125	GC_00000404	1	1	26	61
uroporphyrin-III C-methyltransferase [EC:2.1.1.107]	0	1	1	NA	K02303	GC_00000529	1	1	26	61
small nuclear ribonucleoprotein	0	1	1	NA	K04796	GC_00000241	1	1	26	61
homoserine dehydrogenase [EC:1.1.1.3]	0	1	1	NA	K00003	GC_00001076	1	1	26	61
3-dehydroquinate dehydratase I [EC:4.2.1.10]	0	1	1	NA	K03785	GC_00000551	1	1	26	61
putative hemolysin	0	1	1	NA	K03699	GC_00001092	1	1	26	61
putative protease [EC:3.4.-.-]	0	1	1	NA	K08303	"GC_00001372, GC_00001413, GC_00001414"	1	1	26	61
ribosomal RNA assembly protein	0	1	1	NA	K06961	GC_00000527	1	1	26	61
coenzyme F420 hydrogenase subunit alpha [EC:1.12.98.1]	0	1	1	NA	K00440	GC_00000095	1	1	26	61
TfuA protein	0	1	1	NA	K24410	GC_00001221	1	1	26	61
LPPG:FO 2-phospho-L-lactate transferase [EC:2.7.8.28]	0	1	1	NA	K11212	GC_00001036	1	1	26	61
2-aminoethylphosphonate-pyruvate transaminase [EC:2.6.1.37]	0	1	1	NA	K03430	"GC_00000779, GC_00002521"	1	1	26	61
manganese efflux pump family protein	0	1	1	NA	K23242	GC_00000107	1	1	26	61
energy-converting hydrogenase B subunit E	0	1	1	NA	K14114	GC_00000697	1	1	26	61
small subunit ribosomal protein S8	0	1	1	NA	K02994	GC_00000229	1	1	26	61
aspartyl-tRNA(Asn)/glutamyl-tRNA(Gln) amidotransferase subunit B [EC:6.3.5.6 6.3.5.7]	0	1	1	NA	K02434	GC_00000491	1	1	26	61
DNA-directed RNA polymerase subunit B' [EC:2.7.7.6]	0	1	1	NA	K03044	GC_00000653	1	1	26	61
translation initiation factor 2 subunit 1	0	1	1	NA	K03237	GC_00000614	1	1	26	61
glutamyl-tRNA synthetase [EC:6.1.1.17]	0	1	1	NA	K01885	GC_00000098	1	1	26	61
deoxyhypusine synthase [EC:2.5.1.46]	0	1	1	NA	K00809	GC_00000361	1	1	26	61
large subunit ribosomal protein L21e	0	1	1	NA	K02889	GC_00000654	1	1	26	61
iron complex transport system ATP-binding protein [EC:7.2.2.-]	0	1	1	NA	K02013	GC_00000066	1	1	26	61
peptidyl-prolyl cis-trans isomerase B (cyclophilin B) [EC:5.2.1.8]	0	1	1	NA	K03768	GC_00000359	1	1	26	61
energy-converting hydrogenase A subunit O	0	1	1	NA	K14106	GC_00000496	1	1	26	61
aquaporin Z	0	1	1	NA	K06188	"GC_00001108, GC_00001928"	1	1	26	61
"MarR family transcriptional regulator, repressor for mepA"	0	1	1	NA	K18909	GC_00000514	1	1	26	61
ribonuclease Z [EC:3.1.26.11]	0	1	1	NA	K00784	GC_00000825	1	1	26	61
flavin prenyltransferase [EC:2.5.1.129]	0	1	1	NA	K03186	GC_00000583	1	1	26	61
osmoprotectant transport system ATP-binding protein [EC:7.6.2.9]	0	1	1	NA	K05847	GC_00000011	1	1	26	61
phosphomethylpyrimidine synthase [EC:4.1.99.17]	0	1	1	NA	K03147	"GC_00000456, GC_00000457"	1	1	26	61
adenosylcobinamide-phosphate guanylyltransferase [EC:2.7.7.62]	0	1	1	NA	K19712	GC_00000795	1	1	26	61
biotin synthase [EC:2.8.1.6]	0	1	1	NA	K01012	GC_00001015	1	1	26	61
phosphoglycerate kinase [EC:2.7.2.3]	0	1	1	NA	K00927	GC_00001231	1	1	26	61
heterodisulfide reductase subunit B2 [EC:1.8.7.3 1.8.98.4 1.8.98.5 1.8.98.6]	0	1	1	NA	K03389	GC_00000338	1	1	26	61
energy-converting hydrogenase A subunit D	0	1	1	NA	K14095	GC_00000500	1	1	26	61
phosphoglucosamine mutase [EC:5.4.2.10]	0	1	1	NA	K03431	GC_00000832	1	1	26	61
DNA polymerase II small subunit [EC:2.7.7.7]	0	1	1	NA	K02323	GC_00000059	1	1	26	61
small subunit ribosomal protein S3	0	1	1	NA	K02982	GC_00000331	1	1	26	61
"CDP-2,3-bis-(O-geranylgeranyl)-sn-glycerol synthase [EC:2.7.7.67]"	0	1	1	NA	K19664	GC_00001033	1	1	26	61
energy-converting hydrogenase A subunit Q	0	1	1	NA	K14108	GC_00001078	1	1	26	61
nicotinamide phosphoribosyltransferase [EC:2.4.2.12]	0	1	1	NA	K03462	GC_00000092	1	1	26	61
proliferating cell nuclear antigen	0	1	1	NA	K04802	"GC_00000305, GC_00003123"	1	1	26	61
formylmethanofuran dehydrogenase subunit B [EC:1.2.7.12]	0	1	1	NA	K00201	GC_00000295	1	1	26	61
membrane protein HdeD	0	1	1	NA	K21908	GC_00000904	1	1	26	61
"neurotransmitter:Na+ symporter, NSS family"	0	1	1	NA	K03308	"GC_00000004, GC_00001475"	1	1	26	61
protein Tex	0	1	1	NA	K06959	GC_00000117	1	1	26	61
molecular chaperone DnaJ	0	1	1	NA	K03686	GC_00000480	1	1	26	61
tRNA/rRNA methyltransferase [EC:2.1.1.-]	0	1	1	NA	K02533	GC_00000901	1	1	26	61
agmatinase [EC:3.5.3.11]	0	1	1	NA	K01480	GC_00001326	1	1	26	61
heat shock protein HtpX [EC:3.4.24.-]	0	1	1	NA	K03799	GC_00000866	1	1	26	61
large subunit ribosomal protein L23	0	1	1	NA	K02892	GC_00000445	1	1	26	61
DNA helicase II / ATP-dependent DNA helicase PcrA [EC:3.6.4.12]	0	1	1	NA	K03657	"GC_00001318, GC_00001529, GC_00002009"	1	1	26	61
ferrous iron transport protein B	0	1	1	NA	K04759	GC_00000709	1	1	26	61
DNA-directed RNA polymerase subunit E' [EC:2.7.7.6]	0	1	1	NA	K03049	GC_00000312	1	1	26	61
large subunit ribosomal protein L34e	0	1	1	NA	K02915	GC_00000251	1	1	26	61
4-hydroxy-tetrahydrodipicolinate synthase [EC:4.3.3.7]	0	1	1	NA	K01714	GC_00000965	1	1	26	61
PmbA protein	0	1	1	NA	K03592	GC_00001002	1	1	26	61
phosphosulfolactate synthase [EC:4.4.1.19]	0	1	1	NA	K08097	GC_00000760	1	1	26	61
"5,10-methylenetetrahydromethanopterin reductase [EC:1.5.98.2]"	0	1	1	NA	K00320	GC_00000945	1	1	26	61
pyridoxal 5'-phosphate synthase pdxS subunit [EC:4.3.3.6]	0	1	1	NA	K06215	GC_00000266	1	1	26	61
sulfur carrier protein	0	1	1	NA	K03154	GC_00000588	1	1	26	61
tetrahydromethanopterin S-methyltransferase subunit A [EC:2.1.1.86]	0	1	1	NA	K00577	GC_00000774	1	1	26	61
"BirA family transcriptional regulator, biotin operon repressor / biotin---[acetyl-CoA-carboxylase] ligase [EC:6.3.4.15]"	0	1	1	NA	K03524	GC_00000877	1	1	26	61
D-ribitol-5-phosphate cytidylyltransferase [EC:2.7.7.40]	0	1	1	NA	K21030	"GC_00000867, GC_00001081"	1	1	26	61
3-hydroxyacyl-CoA dehydrogenase [EC:1.1.1.35]	0	1	1	NA	K00022	GC_00001260	1	1	26	61
chromosome partitioning protein	0	1	1	NA	K03496	GC_00000505	1	1	26	61
F420-non-reducing hydrogenase large subunit [EC:1.12.99.- 1.8.98.5]	0	1	1	NA	K14126	GC_00000902	1	1	26	61
chorismate lyase [EC:4.1.3.40]	0	1	1	NA	K03181	GC_00000531	1	1	26	61
energy-converting hydrogenase B subunit C	0	1	1	NA	K14112	GC_00000631	1	1	26	61
formate transporter	0	1	1	NA	K21993	GC_00000154	1	1	26	61
hydroxyacylglutathione hydrolase [EC:3.1.2.6]	0	1	1	NA	K01069	GC_00000441	1	1	26	61
small subunit ribosomal protein S12	0	1	1	NA	K02950	GC_00000217	1	1	26	61
7-cyano-7-deazaguanine tRNA-ribosyltransferase [EC:2.4.2.48]	0	1	1	NA	K18779	GC_00001299	1	1	26	61
poly(ribitol-phosphate) beta-N-acetylglucosaminyltransferase [EC:2.4.1.355]	0	1	1	NA	K22708	"GC_00000007, GC_00000858, GC_00001164, GC_00001337"	1	1	26	61
RNA-binding protein	0	1	1	NA	K07569	"GC_00000388, GC_00000454, GC_00001429, GC_00003458"	1	1	26	61
branched-chain amino acid aminotransferase [EC:2.6.1.42]	0	1	1	NA	K00826	GC_00000135	1	1	26	61
"TetR/AcrR family transcriptional regulator, biofilm operon repressor"	0	1	1	NA	K21453	GC_00000677	1	1	26	61
ubiquinone biosynthesis protein	0	1	1	NA	K03688	GC_00001388	1	1	26	61
large subunit ribosomal protein L14e	0	1	1	NA	K02875	GC_00000232	1	1	26	61
peptide chain release factor subunit 1	0	1	1	NA	K03265	GC_00000970	1	1	26	61
transitional endoplasmic reticulum ATPase	0	1	1	NA	K13525	GC_00000761	1	1	26	61
large subunit ribosomal protein L2	0	1	1	NA	K02886	GC_00000230	1	1	26	61
F420-non-reducing hydrogenase small subunit [EC:1.12.99.- 1.8.98.5]	0	1	1	NA	K14128	GC_00000830	1	1	26	61
energy-converting hydrogenase B subunit B	0	1	1	NA	K14111	GC_00000400	1	1	26	61
tetrahydromethanopterin S-methyltransferase subunit F [EC:2.1.1.86]	0	1	1	NA	K00582	GC_00000392	1	1	26	61
MEMO1 family protein	0	1	1	NA	K06990	GC_00000143	1	1	26	61
nascent polypeptide-associated complex subunit alpha	0	1	1	NA	K03626	GC_00000590	1	1	26	61
amidophosphoribosyltransferase [EC:2.4.2.14]	0	1	1	NA	K00764	GC_00000096	1	1	26	61
small subunit ribosomal protein S9	0	1	1	NA	K02996	GC_00000265	1	1	26	61
LL-diaminopimelate aminotransferase [EC:2.6.1.83]	0	1	1	NA	K10206	GC_00000847	1	1	26	61
undecaprenyl-diphosphatase [EC:3.6.1.27]	0	1	1	NA	K06153	"GC_00000611, GC_00001996"	1	1	26	61
tetrahydromethanopterin S-methyltransferase subunit E [EC:2.1.1.86]	0	1	1	NA	K00581	GC_00000569	1	1	26	61
nondiscriminating aspartyl-tRNA synthetase [EC:6.1.1.23]	0	1	1	NA	K09759	GC_00000893	1	1	26	61
hydrogenase expression/formation protein	0	1	1	NA	K07388	GC_00000665	1	1	26	61
glucose-1-phosphate thymidylyltransferase [EC:2.7.7.24]	0	1	1	NA	K00973	GC_00001093	1	1	26	61
prephenate dehydratase [EC:4.2.1.51]	0	1	1	NA	K04518	GC_00000952	1	1	26	61
"exopolyphosphatase / guanosine-5'-triphosphate,3'-diphosphate pyrophosphatase [EC:3.6.1.11 3.6.1.40]"	0	1	1	NA	K01524	GC_00001074	1	1	26	61
5'-nucleotidase [EC:3.1.3.5]	0	1	1	NA	K03787	GC_00000786	1	1	26	61
energy-converting hydrogenase A subunit N	0	1	1	NA	K14105	GC_00000374	1	1	26	61
"DNA-directed RNA polymerase subunit E"""" [EC:2.7.7.6]"	0	1	1	NA	K03050	GC_00000316	1	1	26	61
V/A-type H+/Na+-transporting ATPase subunit E	0	1	1	NA	K02121	GC_00000469	1	1	26	61
long-chain acyl-CoA synthetase [EC:6.2.1.3]	0	1	1	NA	K01897	GC_00001055	1	1	26	61
asparagine synthase (glutamine-hydrolysing) [EC:6.3.5.4]	0	1	1	NA	K01953	GC_00001409	1	1	26	61
KEOPS complex subunit Cgi121	0	1	1	NA	K09119	GC_00001091	1	1	26	61
adenosylcobyric acid synthase [EC:6.3.5.10]	0	1	1	NA	K02232	GC_00001400	1	1	26	61
"5,10-methenyltetrahydromethanopterin hydrogenase [EC:1.12.98.2]"	0	1	1	NA	K13942	GC_00000120	1	1	26	61
tRNA wybutosine-synthesizing protein 1 [EC:4.1.3.44]	0	1	1	NA	K15449	GC_00000734	1	1	26	61
L-threonylcarbamoyladenylate synthase [EC:2.7.7.87]	0	1	1	NA	K07566	GC_00001207	1	1	26	61
energy-converting hydrogenase B subunit M	0	1	1	NA	K14122	GC_00000433	1	1	26	61
phospho-N-acetylmuramoyl-pentapeptide-transferase [EC:2.7.8.13]	0	1	1	NA	K01000	GC_00000632	1	1	26	61
5-methyltetrahydropteroyltriglutamate--homocysteine methyltransferase [EC:2.1.1.14]	0	1	1	NA	K00549	GC_00000907	1	1	26	61
small subunit ribosomal protein S3Ae	0	1	1	NA	K02984	GC_00000402	1	1	26	61
diphthine-ammonia ligase [EC:6.3.1.14]	0	1	1	NA	K06927	GC_00000702	1	1	26	61
NADH oxidase (H2O2-forming) [EC:1.6.3.3]	0	1	1	NA	K17870	GC_00001025	1	1	26	61
energy-converting hydrogenase B subunit L	0	1	1	NA	K14121	GC_00000497	1	1	26	61
exosome complex component RRP41	0	1	1	NA	K11600	GC_00000935	1	1	26	61
proteasome regulatory subunit	0	1	1	NA	K03420	GC_00000339	1	1	26	61
tRNA (adenine57-N1/adenine58-N1)-methyltransferase catalytic subunit [EC:2.1.1.219 2.1.1.220]	0	1	1	NA	K07442	GC_00000675	1	1	26	61
NAD+ synthase [EC:6.3.1.5]	0	1	1	NA	K01916	GC_00000499	1	1	26	61
bacitracin transport system permease protein	0	1	1	NA	K19310	"GC_00000100, GC_00001022"	1	1	26	61
hydrogenase maturation protein HypF	0	1	1	NA	K04656	GC_00001317	1	1	26	61
pyruvate ferredoxin oxidoreductase alpha subunit [EC:1.2.7.1]	0	1	1	NA	K00169	GC_00000782	1	1	26	61
"7,8-dihydro-6-hydroxymethylpterin dimethyltransferase [EC:2.1.1.-]"	0	1	1	NA	K06937	GC_00000162	1	1	26	61
large subunit ribosomal protein L30	0	1	1	NA	K02907	GC_00000341	1	1	26	61
phosphoribosylamine---glycine ligase [EC:6.3.4.13]	0	1	1	NA	K01945	GC_00001067	1	1	26	61
"peptidyl-tRNA hydrolase, PTH2 family [EC:3.1.1.29]"	0	1	1	NA	K04794	GC_00000474	1	1	26	61
V/A-type H+/Na+-transporting ATPase subunit G/H	0	1	1	NA	K02107	GC_00000297	1	1	26	61
archaetidylserine synthase [EC:2.7.8.38]	0	1	1	NA	K19665	GC_00000669	1	1	26	61
threonylcarbamoyladenosine tRNA methylthiotransferase CDKAL1 [EC:2.8.4.5]	0	1	1	NA	K15865	GC_00000988	1	1	26	61
tRNA (guanine10-N2)-dimethyltransferase [EC:2.1.1.213]	0	1	1	NA	K07446	GC_00001101	1	1	26	61
formylmethanofuran dehydrogenase subunit E [EC:1.2.7.12]	0	1	1	NA	K11261	GC_00000478	1	1	26	61
ATP-dependent DNA helicase DinG [EC:3.6.4.12]	0	1	1	NA	K03722	"GC_00001251, GC_00001942, GC_00003857"	1	1	26	61
adhesin/invasin	0	1	1	NA	K13735	"GC_00000213, GC_00001393, GC_00001401, GC_00001420, GC_00001421, GC_00001483, GC_00001650, GC_00001680, GC_00001788, GC_00001789, GC_00001987, GC_00003598"	1	1	26	61
DNA-directed RNA polymerase subunit L [EC:2.7.7.6]	0	1	1	NA	K03056	GC_00000354	1	1	26	61
coenzyme F420 hydrogenase subunit delta	0	1	1	NA	K00442	GC_00000348	1	1	26	61
putative nucleotide binding protein	0	1	1	NA	K07572	GC_00000133	1	1	26	61
cytosine/creatinine deaminase [EC:3.5.4.1 3.5.4.21]	0	1	1	NA	K03365	GC_00001017	1	1	26	61
aspartate carbamoyltransferase catalytic subunit [EC:2.1.3.2]	0	1	1	NA	K00609	GC_00000958	1	1	26	61
NAD+ kinase [EC:2.7.1.23]	0	1	1	NA	K00858	GC_00001149	1	1	26	61
fumarate reductase (CoM/CoB) subunit B [EC:1.3.4.1]	0	1	1	NA	K18210	GC_00000797	1	1	26	61
UDP-N-acetylglucosamine--dolichyl-phosphate N-acetylglucosaminephosphotransferase [EC:2.7.8.15]	0	1	1	NA	K01001	GC_00000770	1	1	26	61
V/A-type H+/Na+-transporting ATPase subunit D	0	1	1	NA	K02120	GC_00000287	1	1	26	61
phosphoribosylaminoimidazole-succinocarboxamide synthase [EC:6.3.2.6]	0	1	1	NA	K01923	GC_00000502	1	1	26	61
ATP-dependent RNA helicase DeaD [EC:3.6.4.13]	0	1	1	NA	K05592	GC_00000430	1	1	26	61
energy-coupling factor transport system substrate-specific component	0	1	1	NA	K16926	GC_00000495	1	1	26	61
carbamoyl-phosphate synthase small subunit [EC:6.3.5.5]	0	1	1	NA	K01956	GC_00001204	1	1	26	61
excinuclease ABC subunit A	0	1	1	NA	K03701	GC_00001363	1	1	26	61
glycerol-3-phosphate dehydrogenase (NAD(P)+) [EC:1.1.1.94]	0	1	1	NA	K00057	"GC_00000147, GC_00001525"	1	1	26	61
HSP20 family protein	0	1	1	NA	K13993	GC_00001209	1	1	26	61
energy-converting hydrogenase A subunit A	0	1	1	NA	K14092	GC_00000627	1	1	26	61
"DtxR family transcriptional regulator, Mn-dependent transcriptional regulator"	0	1	1	NA	K03709	GC_00000694	1	1	26	61
phenylacetate-CoA ligase [EC:6.2.1.30]	0	1	1	NA	K01912	"GC_00000793, GC_00000794"	1	1	26	61
"acetyl-CoA carboxylase, biotin carboxylase subunit [EC:6.4.1.2 6.3.4.14]"	0	1	1	NA	K01961	GC_00000673	1	1	26	61
TatD DNase family protein [EC:3.1.21.-]	0	1	1	NA	K03424	"GC_00001133, GC_00001239"	1	1	26	61
perosamine synthetase [EC:2.6.1.102]	0	1	1	NA	K13010	GC_00000986	1	1	26	61
translation initiation factor 5B	0	1	1	NA	K03243	GC_00000663	1	1	26	61
chorismate mutase [EC:5.4.99.5]	0	1	1	NA	K04093	GC_00000333	1	1	26	61
heterodisulfide reductase subunit C2 [EC:1.8.7.3 1.8.98.4 1.8.98.5 1.8.98.6]	0	1	1	NA	K03390	GC_00000933	1	1	26	61
hydrogenase expression/formation protein HypC	0	1	1	NA	K04653	GC_00000260	1	1	26	61
DNA repair protein RadA	0	1	1	NA	K04483	GC_00000395	1	1	26	61
deoxyribonuclease IV [EC:3.1.21.2]	0	1	1	NA	K01151	GC_00001165	1	1	26	61
translation initiation factor 5A	0	1	1	NA	K03263	GC_00000239	1	1	26	61
5-(aminomethyl)-3-furanmethanol phosphate kinase [EC:2.7.4.31]	0	1	1	NA	K07144	GC_00000799	1	1	26	61
2-phosphosulfolactate phosphatase [EC:3.1.3.71]	0	1	1	NA	K05979	GC_00001167	1	1	26	61
stage V sporulation protein B	0	1	1	NA	K06409	"GC_00001259, GC_00001655"	1	1	26	61
thioglycine synthase [EC:6.2.2.1]	0	1	1	NA	K24409	GC_00001387	1	1	26	61
DNA primase small subunit [EC:2.7.7.102]	0	1	1	NA	K02683	GC_00001172	1	1	26	61
uracil permease	0	1	1	NA	K02824	GC_00000975	1	1	26	61
large subunit ribosomal protein L32e	0	1	1	NA	K02912	GC_00000342	1	1	26	61
large subunit ribosomal protein L44e	0	1	1	NA	K02929	GC_00000225	1	1	26	61
pantoate kinase [EC:2.7.1.169]	0	1	1	NA	K06982	GC_00001358	1	1	26	61
tyrosine decarboxylase / aspartate 1-decarboxylase [EC:4.1.1.25 4.1.1.11]	0	1	1	NA	K18933	GC_00000905	1	1	26	61
